#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R4.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
2021/11/17 14:00:14,930000,0.504,0.118,0.505,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:14,940000,0.503,0.114,0.508,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:14,950000,0.512,0.120,0.506,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:14,960000,0.506,0.129,0.504,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:14,970000,0.500,0.113,0.506,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:14,980000,0.504,0.125,0.504,0.010,165.15,252.75,298.00,-0.005
2021/11/17 14:00:14,990000,0.503,0.115,0.503,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,000000,0.509,0.109,0.504,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,010000,0.508,0.117,0.501,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,020000,0.502,0.120,0.514,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,030000,0.513,0.120,0.503,0.020,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,040000,0.505,0.117,0.507,0.010,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,050000,0.503,0.117,0.508,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,060000,0.511,0.117,0.512,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,070000,0.500,0.118,0.513,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,080000,0.505,0.111,0.507,0.010,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,090000,0.504,0.121,0.505,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,100000,0.500,0.115,0.517,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,110000,0.503,0.110,0.517,-0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,120000,0.505,0.107,0.507,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,130000,0.509,0.113,0.510,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,140000,0.504,0.114,0.509,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,150000,0.501,0.115,0.505,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,160000,0.501,0.125,0.508,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,170000,0.502,0.124,0.507,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,180000,0.510,0.116,0.505,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,190000,0.508,0.115,0.506,0.013,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,200000,0.504,0.129,0.514,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,210000,0.501,0.112,0.505,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,220000,0.513,0.120,0.505,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,230000,0.498,0.105,0.507,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,240000,0.502,0.116,0.505,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,250000,0.500,0.133,0.508,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,260000,0.505,0.111,0.507,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,270000,0.501,0.116,0.510,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,280000,0.500,0.115,0.516,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,290000,0.510,0.115,0.506,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,300000,0.503,0.115,0.505,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,310000,0.507,0.117,0.508,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,320000,0.502,0.110,0.516,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,330000,0.505,0.113,0.511,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,340000,0.499,0.130,0.507,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,350000,0.503,0.116,0.512,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,360000,0.502,0.129,0.509,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,370000,0.503,0.130,0.504,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,380000,0.505,0.114,0.504,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,390000,0.501,0.120,0.508,0.003,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,400000,0.503,0.120,0.503,0.010,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,410000,0.498,0.112,0.510,0.007,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,420000,0.499,0.103,0.513,0.000,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,430000,0.502,0.110,0.504,0.000,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,440000,0.510,0.120,0.513,0.007,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,450000,0.500,0.115,0.499,0.003,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,460000,0.504,0.118,0.507,-0.003,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,470000,0.503,0.125,0.505,0.000,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,480000,0.505,0.128,0.507,0.003,165.15,252.75,298.00,-0.004
2021/11/17 14:00:15,490000,0.504,0.112,0.507,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,500000,0.503,0.111,0.507,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,510000,0.511,0.123,0.503,0.010,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,520000,0.506,0.120,0.501,0.020,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,530000,0.505,0.114,0.508,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,540000,0.501,0.120,0.510,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,550000,0.510,0.130,0.510,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,560000,0.501,0.126,0.508,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,570000,0.504,0.117,0.505,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,580000,0.508,0.120,0.508,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,590000,0.507,0.115,0.508,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,600000,0.501,0.117,0.507,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,610000,0.500,0.120,0.507,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,620000,0.503,0.121,0.514,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,630000,0.501,0.123,0.509,0.020,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,640000,0.510,0.117,0.503,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,650000,0.500,0.115,0.516,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,660000,0.500,0.116,0.506,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,670000,0.500,0.114,0.505,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,680000,0.505,0.129,0.513,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,690000,0.500,0.120,0.502,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,700000,0.503,0.133,0.513,-0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,710000,0.511,0.118,0.504,-0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,720000,0.503,0.131,0.508,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,730000,0.501,0.126,0.503,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,740000,0.500,0.115,0.505,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,750000,0.504,0.119,0.508,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,760000,0.506,0.126,0.508,-0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,770000,0.505,0.109,0.516,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,780000,0.503,0.130,0.502,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,790000,0.504,0.115,0.504,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,800000,0.505,0.119,0.504,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,810000,0.498,0.120,0.507,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,820000,0.502,0.125,0.503,0.010,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,830000,0.505,0.121,0.505,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,840000,0.503,0.117,0.504,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,850000,0.503,0.118,0.503,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,860000,0.511,0.115,0.505,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,870000,0.499,0.120,0.505,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,880000,0.503,0.117,0.505,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,890000,0.500,0.119,0.503,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,900000,0.513,0.115,0.504,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,910000,0.503,0.102,0.511,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,920000,0.500,0.111,0.507,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,930000,0.504,0.114,0.511,0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,940000,0.512,0.120,0.508,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,950000,0.500,0.121,0.508,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,960000,0.506,0.111,0.508,0.007,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,970000,0.504,0.112,0.506,-0.003,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,980000,0.505,0.115,0.510,0.000,165.15,252.75,298.00,-0.005
2021/11/17 14:00:15,990000,0.503,0.115,0.509,0.003,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,000000,0.505,0.116,0.505,0.003,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,010000,0.514,0.115,0.517,0.000,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,020000,0.511,0.111,0.507,0.003,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,030000,0.504,0.118,0.505,0.007,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,040000,0.502,0.116,0.505,0.003,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,050000,0.508,0.111,0.515,0.007,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,060000,0.500,0.118,0.504,0.000,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,070000,0.502,0.120,0.501,0.007,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,080000,0.507,0.116,0.514,0.010,165.15,252.75,298.00,-0.004
2021/11/17 14:00:16,090000,0.505,0.116,0.503,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,100000,0.506,0.113,0.505,0.020,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,110000,0.502,0.121,0.507,0.013,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,120000,0.498,0.121,0.513,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,130000,0.500,0.111,0.517,-0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,140000,0.502,0.117,0.504,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,150000,0.508,0.116,0.516,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,160000,0.506,0.110,0.519,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,170000,0.507,0.115,0.516,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,180000,0.507,0.108,0.503,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,190000,0.501,0.110,0.513,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,200000,0.503,0.117,0.511,0.013,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,210000,0.508,0.119,0.508,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,220000,0.500,0.117,0.504,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,230000,0.510,0.123,0.507,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,240000,0.510,0.128,0.503,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,250000,0.504,0.119,0.511,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,260000,0.505,0.111,0.508,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,270000,0.503,0.119,0.508,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,280000,0.503,0.127,0.512,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,290000,0.511,0.115,0.505,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,300000,0.500,0.125,0.505,0.010,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,310000,0.514,0.127,0.503,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,320000,0.504,0.115,0.503,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,330000,0.498,0.110,0.512,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,340000,0.503,0.120,0.513,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,350000,0.504,0.117,0.512,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,360000,0.503,0.113,0.505,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,370000,0.498,0.110,0.517,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,380000,0.501,0.120,0.505,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,390000,0.500,0.129,0.508,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,400000,0.506,0.112,0.505,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,410000,0.501,0.119,0.514,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,420000,0.505,0.115,0.505,0.003,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,430000,0.498,0.127,0.508,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,440000,0.499,0.120,0.508,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,450000,0.504,0.116,0.505,-0.003,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,460000,0.504,0.110,0.516,0.007,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,470000,0.498,0.114,0.511,0.003,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,480000,0.501,0.115,0.511,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,490000,0.503,0.113,0.505,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,500000,0.499,0.120,0.509,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,510000,0.501,0.118,0.508,0.003,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,520000,0.501,0.131,0.508,0.007,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,530000,0.510,0.119,0.505,0.000,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,540000,0.504,0.125,0.515,-0.003,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,550000,0.505,0.123,0.505,0.003,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,560000,0.502,0.114,0.507,0.007,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,570000,0.501,0.120,0.505,0.007,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,580000,0.506,0.117,0.503,0.003,165.10,252.75,298.00,-0.005
2021/11/17 14:00:16,590000,0.502,0.120,0.508,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,600000,0.506,0.112,0.506,-0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,610000,0.499,0.118,0.510,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,620000,0.504,0.113,0.507,0.010,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,630000,0.504,0.115,0.508,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,640000,0.505,0.114,0.513,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,650000,0.503,0.125,0.501,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,660000,0.505,0.117,0.514,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,670000,0.503,0.137,0.505,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,680000,0.503,0.119,0.505,0.013,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,690000,0.508,0.125,0.503,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,700000,0.504,0.115,0.507,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,710000,0.500,0.135,0.502,0.017,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,720000,0.502,0.120,0.508,0.020,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,730000,0.511,0.129,0.506,0.040,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,740000,0.503,0.118,0.505,0.013,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,750000,0.507,0.132,0.502,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,760000,0.502,0.121,0.506,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,770000,0.508,0.122,0.513,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,780000,0.499,0.120,0.508,-0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:16,790000,0.505,0.129,0.504,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,800000,0.505,0.119,0.508,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,810000,0.499,0.135,0.505,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,820000,0.513,0.120,0.508,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,830000,0.508,0.123,0.506,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,840000,0.505,0.115,0.510,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,850000,0.505,0.114,0.508,-0.007,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,860000,0.503,0.114,0.508,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,870000,0.502,0.121,0.504,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,880000,0.502,0.121,0.505,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,890000,0.504,0.117,0.508,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,900000,0.507,0.112,0.505,0.007,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,910000,0.503,0.115,0.504,0.013,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,920000,0.500,0.121,0.505,0.017,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,930000,0.504,0.127,0.507,0.017,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,940000,0.512,0.128,0.504,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,950000,0.505,0.120,0.509,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,960000,0.501,0.120,0.510,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,970000,0.503,0.121,0.511,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,980000,0.498,0.109,0.511,-0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:16,990000,0.504,0.111,0.505,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,000000,0.514,0.123,0.504,-0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,010000,0.504,0.113,0.511,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,020000,0.502,0.115,0.507,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,030000,0.503,0.120,0.504,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,040000,0.503,0.115,0.504,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,050000,0.505,0.114,0.508,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,060000,0.512,0.128,0.504,0.023,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,070000,0.503,0.110,0.513,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,080000,0.503,0.124,0.504,0.013,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,090000,0.508,0.118,0.508,0.013,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,100000,0.501,0.120,0.501,0.007,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,110000,0.503,0.110,0.505,0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,120000,0.503,0.123,0.508,0.000,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,130000,0.503,0.115,0.504,0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,140000,0.507,0.130,0.503,0.007,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,150000,0.500,0.125,0.504,0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,160000,0.497,0.127,0.503,0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,170000,0.505,0.119,0.513,0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,180000,0.504,0.121,0.505,0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,190000,0.513,0.115,0.507,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,200000,0.510,0.120,0.507,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,210000,0.509,0.112,0.510,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,220000,0.499,0.115,0.508,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,230000,0.508,0.110,0.501,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,240000,0.503,0.120,0.514,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,250000,0.507,0.106,0.512,0.007,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,260000,0.504,0.120,0.508,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,270000,0.504,0.118,0.504,0.003,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,280000,0.502,0.120,0.505,0.000,165.10,252.75,298.00,-0.004
2021/11/17 14:00:17,290000,0.507,0.125,0.506,0.013,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,300000,0.505,0.114,0.508,0.000,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,310000,0.504,0.115,0.505,0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,320000,0.504,0.127,0.503,0.013,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,330000,0.506,0.114,0.513,-0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,340000,0.500,0.125,0.507,0.000,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,350000,0.501,0.113,0.503,0.007,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,360000,0.515,0.114,0.504,0.000,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,370000,0.503,0.120,0.507,0.007,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,380000,0.503,0.118,0.501,0.003,165.10,252.70,298.00,-0.004
2021/11/17 14:00:17,390000,0.504,0.115,0.505,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,400000,0.502,0.121,0.508,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,410000,0.511,0.118,0.511,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,420000,0.500,0.118,0.508,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,430000,0.501,0.121,0.505,0.000,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,440000,0.514,0.121,0.503,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,450000,0.500,0.114,0.511,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,460000,0.502,0.118,0.507,0.003,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,470000,0.505,0.115,0.507,0.013,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,480000,0.508,0.114,0.508,0.010,165.10,252.75,298.05,-0.004
2021/11/17 14:00:17,490000,0.500,0.115,0.505,0.000,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,500000,0.504,0.120,0.505,0.007,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,510000,0.505,0.117,0.507,0.000,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,520000,0.503,0.114,0.505,0.003,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,530000,0.507,0.123,0.514,0.003,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,540000,0.507,0.117,0.505,0.003,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,550000,0.501,0.114,0.515,0.003,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,560000,0.505,0.123,0.504,0.007,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,570000,0.511,0.120,0.503,0.000,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,580000,0.500,0.121,0.503,0.000,165.05,252.75,298.05,-0.004
2021/11/17 14:00:17,590000,0.508,0.127,0.505,0.010,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,600000,0.501,0.124,0.511,0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,610000,0.500,0.130,0.513,0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,620000,0.503,0.118,0.503,0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,630000,0.501,0.124,0.501,0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,640000,0.502,0.119,0.510,0.000,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,650000,0.501,0.114,0.507,0.000,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,660000,0.497,0.110,0.507,0.000,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,670000,0.505,0.123,0.504,0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,680000,0.505,0.118,0.510,0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,690000,0.508,0.133,0.504,-0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,700000,0.504,0.120,0.508,0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,710000,0.507,0.115,0.513,-0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,720000,0.505,0.110,0.515,0.003,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,730000,0.510,0.120,0.510,0.007,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,740000,0.503,0.114,0.503,0.007,165.10,252.70,298.05,-0.004
2021/11/17 14:00:17,750000,0.512,0.117,0.508,0.020,165.10,252.70,298.05,-0.004
